Image 0| Score: -1.8844 | Improved by Teacher| Green commercial building with refrigerator and refrigeration units outside.
Image 57| Score: -1.7363 | Improved by Teacher| The elephant is walking around in the park.
Image 58| Score: -0.5484 | Improved by Teacher| A green truck traveling down a road with a wooden flatbed.
Image 59| Score: -1.1779 | Improved by Teacher| A group of vegetables on top of  a dark surface.
Image 60| Score: -1.6555 | Improved by Teacher| Female tennis player about to hit the ball
Image 61| Score: -0.9209 | Improved by Teacher| a man that is on a skateboard that is on a ramp
Image 62| Score: -2.1132 | Improved by Teacher| Two people are standing in snow carrying ski poles and skis on their shoulders. 
Image 63| Score: -0.8151 | Improved by Teacher| a jockey is seen riding his horse on a grass field 
Image 64| Score: -0.7649 | Improved by Teacher| A bathroom with no walls and a toilet bowl
Image 65| Score: -0.7960 | Improved by Teacher| A group of lawn chairs sitting on top of a beach.
Image 66| Score: -0.9937 | Improved by Teacher| A city square decorated with a tree and lights
Image 67| Score: -0.2666 | Improved by Teacher| A dog sits on a tennis court next to tennis equipment. 
Image 68| Score: -0.8133 | Improved by Teacher| a group of people watching giraffes in the zoo
Image 69| Score: -1.1194 | Improved by Teacher| A plate with spaghetti, red sauce, broccoli and a coca cola on the side.
Image 70| Score: -0.6819 | Improved by Teacher| A plate of food with a fried egg and colorful vegetables.
Image 71| Score: -1.7849 | Improved by Teacher| A plastic fork on top of a lid sitting on a bench.
Image 72| Score: -1.0492 | Improved by Teacher| A man brushing his teeth in the bathroom.
Image 73| Score: -1.4210 | Improved by Teacher| A group of friends sitting inside their living room.
Image 74| Score: -2.1012 | Improved by Teacher| Motorcycles are riding down the road toward the sun. 
Image 75| Score: -0.9269 | Improved by Teacher| A vase filled with purple flowers and green plants.
Image 76| Score: -1.8334 | Improved by Teacher| This room has a bed with blue sheets and a large bookcase
Image 77| Score: -0.8531 | Improved by Teacher| A street with traffic lights, wall and buildings.
Image 78| Score: -1.5854 | Improved by Teacher| A very young boy and girl holding Wii controllers playing a video game.
Image 79| Score: -2.1481 | Improved by Teacher| the person is on his skateboard going up the ramp 
Image 80| Score: -2.0971 | Improved by Teacher| Three cakes are sitting in a row on a bakery table.
Image 81| Score: -1.8801 | Improved by Teacher| Two horses are standing behind a stone wall.
Image 82| Score: -2.0861 | Improved by Teacher| A compilation of pictures of old bathroom fixtures.
Image 83| Score: -1.1020 | Improved by Teacher| A bunch of kids standing on top of a skateboarding ramp.
Image 84| Score: -1.0685 | Improved by Teacher| a close up of some motorcycles parked on a grassy field
Image 85| Score: -0.7506 | Improved by Teacher| A group of horse racers approaching a turn on the track.
Image 86| Score: 0.0821 | Improved by Teacher|  A young boy balancing himself on his skateboard.
Image 87| Score: -0.6517 | Improved by Teacher| a woman with a hat swinging a tennis racquet
Image 88| Score: -1.9104 | Improved by Teacher| There are many cars driving along the road at night.
Image 89| Score: -1.6218 | Improved by Teacher| Several black and white sheep near a sofa in a field.
Image 90| Score: -1.3622 | Improved by Teacher| A couple of motor bikes parked on top of a green surface.
Image 91| Score: -2.1524 | Improved by Teacher| Cat standing next to rocking chair on sheets with walls
Image 92| Score: -1.1410 | Improved by Teacher| a couple of plants sit in front of a window 
Image 93| Score: -0.4045 | Improved by Teacher| A bird stands on rocks across the water from a lighthouse.
Image 94| Score: -1.1810 | Improved by Teacher| An open-air festival in India with umbrellas, women in saris, and an ascetic. 
Image 95| Score: -1.4577 | Improved by Teacher| Adults enjoying each others company in residential kitchen.
Image 96| Score: -0.5575 | Improved by Teacher| A tour bus is empty on a downtown road.
Image 97| Score: -1.1865 | Improved by Teacher| A person hitting a tennis ball on a court.
Image 98| Score: -0.9813 | Improved by Teacher| a couple of microwaves that are next to each other
Image 99| Score: -1.1638 | Improved by Teacher| A professional tennis player hits a ball as fans watch.
Image 100| Score: -1.9188 | Improved by Teacher| some people boats and birds in the water
Image 101| Score: -1.6505 | Improved by Teacher| a couple of people are in line at a vendor
Image 102| Score: -0.6510 | Improved by Teacher| A man smiles as he moves through the snow holding ski poles. 
Image 103| Score: -1.9088 | Improved by Teacher| Graffiti of a basketball player holding an umbrella
Image 104| Score: -1.0580 | Improved by Teacher| A green and white rain next to a phone booth.
Image 105| Score: -1.7057 | Improved by Teacher| A row of black chairs against a red wall with a clock.
Image 106| Score: -1.9262 | Improved by Teacher| there is a fire hydrant that is painted all silver
Image 107| Score: -0.8425 | Improved by Teacher| A orange is hanging on a branch on the tree.
Image 108| Score: -1.9370 | Improved by Teacher| The toilet is clean and ready for customers to use.
Image 109| Score: -2.0004 | Improved by Teacher| Six large suitcases stacked up against the wall.
Image 110| Score: -0.8446 | Improved by Teacher| A bathroom with a toilet and a striped shower curtain.
Image 111| Score: -0.7543 | Improved by Teacher| A city at night with people walking around.
Image 112| Score: -1.1918 | Improved by Teacher| A hand is lifting up the top bread of a sub sandwich.
Image 113| Score: -0.7156 | Improved by Teacher| A herd of cattle grazing on the side of a hill.
Image 114| Score: -2.0619 | Improved by Teacher| A girl is washing grapes in a sink.
Image 115| Score: -1.9178 | Improved by Teacher| A woman preparing food for cooking in her kitchen.
Image 116| Score: -0.7654 | Improved by Teacher| a man standing on a tennis court while people watch him 
Image 117| Score: -0.6170 | Improved by Teacher| A pizza with bacon bits and spinach leaves on it.
Image 118| Score: -2.0849 | Improved by Teacher| Fruit, including oranges, apples and lemons, sits underneath hanging bananas.
Image 119| Score: -0.8947 | Improved by Teacher| Adult elephant standing close to a baby elephant 
Image 120| Score: -0.4664 | Improved by Teacher| A photograph of a kitchen inside a house.
Image 121| Score: -0.5141 | Improved by Teacher| a room with many screen and a very big map
Image 122| Score: -0.8526 | Improved by Teacher| A man wearing a collar shirt with a blue tie
Image 123| Score: -0.4686 | Improved by Teacher| a living room with a bright red couch next to a yellow wall 
Image 124| Score: -2.2013 | Improved by Teacher| Two ducks swim in a pond with green water.
Image 125| Score: 0.1163 | Improved by Teacher| A stuffed monkey that is sitting on some boxes.
Image 126| Score: -1.2009 | Improved by Teacher| Cars are parked in the lot of a gas station.
Image 127| Score: -0.8083 | Improved by Teacher| a little dog checking out a pet bed
Image 128| Score: -1.3763 | Improved by Teacher| A couple Of Girls are playing a soccer game
Image 129| Score: -0.9008 | Improved by Teacher| a peice of carrot cake that is on a plate
Image 130| Score: -1.3515 | Improved by Teacher| Boats are docked in a lake by a road.
Image 131| Score: -0.7798 | Improved by Teacher| A bed with white and gray bedding and netting overhead.
Image 132| Score: -0.5159 | Improved by Teacher| A group of flamingos standing next to each other in water.
Image 133| Score: -1.9406 | Improved by Teacher| Snow covered picnic benches overlooking a parking lot.
Image 134| Score: -2.0357 | Improved by Teacher| People preparing to ski down a snow covered slope.
Image 135| Score: -2.1080 | Improved by Teacher| Two men look down into a computer monitor on a desk.
Image 136| Score: -2.0306 | Improved by Teacher| A man in a brown shirt helping a lady with a Nintendo Wii controller.
Image 137| Score: -0.3227 | Improved by Teacher| A dog sitting upright with its hands on a laptop.
Image 138| Score: -1.2781 | Improved by Teacher| A table has colorful flowers and food on it.
Image 139| Score: -2.0111 | Improved by Teacher| A person grabbing a slice of pizza from a pizza box.
Image 140| Score: -0.3338 | Improved by Teacher| A dog is in the air with a frisbee in its mouth
Image 141| Score: -1.4608 | Improved by Teacher| a bunch of wine bottles sit on top of a table 
Image 142| Score: -2.1536 | Improved by Teacher| Two vases of fresh flowers sit on top of the table.
Image 143| Score: 0.0065 | Improved by Teacher| A close up of a red and black bird on a rock.
Image 144| Score: -2.1375 | Improved by Teacher| the edge of a sink with a toothbrush floss and lotion
Image 145| Score: -1.9600 | Improved by Teacher| Many people walk on the narrow street underneath many strings with flags on them.
Image 146| Score: -1.7688 | Improved by Teacher| Large white bathroom showing sink, tub, TV, and countertops.
Image 147| Score: -1.0140 | Improved by Teacher| A pile of different types of vegetables on top of each other.
Image 148| Score: -0.4489 | Improved by Teacher| A cat on a chair holding a remote control.
Image 149| Score: -1.1437 | Improved by Teacher| A blurry shot of someone on a bicycle holding an umbrella 
Image 150| Score: -1.2089 | Improved by Teacher| A man riding on a skateboard up on to a ledge.
Image 151| Score: -0.7429 | Improved by Teacher| a woman is out on a court playing tennis
Image 152| Score: -1.8574 | Improved by Teacher| Two beds with decorative wooden headboard and foot board, one is a double and one is a single
Image 153| Score: -2.1285 | Improved by Teacher| There is a young boy throwing a baseball
Image 154| Score: -2.2115 | Improved by Teacher| a close up of a person holding an electronic device
Image 155| Score: -2.1795 | Improved by Teacher| many bikes parked on a fence near the street
Image 156| Score: -1.3999 | Improved by Teacher| A man and a woman eating dinner at a table.
Image 157| Score: -2.0851 | Improved by Teacher| The man has a green coat and blue tie. 
Image 158| Score: -1.8281 | Improved by Teacher| rusted scissors out in the field with grass growing around it.
Image 159| Score: -0.9138 | Improved by Teacher| A man standing by a large air gondola that is docked in a station
Image 160| Score: -0.6121 | Improved by Teacher| A blue, yellow and red train driving through on a train track. 
Image 161| Score: -1.0287 | Improved by Teacher| a couple of elephants walking off a path
Image 162| Score: -1.1685 | Improved by Teacher| a woman is standing outside with an umbrella
Image 163| Score: -2.0530 | Improved by Teacher| Bundles of rope are on a cart in front of a train.
Image 164| Score: -2.1052 | Improved by Teacher| Two men play against each other in Wii Bowling.
Image 165| Score: -0.4792 | Improved by Teacher| An orange trolley is on the street next to a building with a lot of windows.
Image 166| Score: -1.1884 | Improved by Teacher| a woman sitting on a suitcase at the end of a motor home 
Image 167| Score: -2.0973 | Improved by Teacher| A man taking a photo of food on a table.
Image 168| Score: -1.6367 | Improved by Teacher| A woman sleeping on a plane with a window view of the wing.
Image 169| Score: -2.1670 | Improved by Teacher| Windows are open on the back of a truck. 
Image 170| Score: -2.0736 | Improved by Teacher| Here is a scale weighing a tan piece of luggage.
Image 171| Score: -0.9931 | Improved by Teacher| A vase in a case next to other items. 
Image 172| Score: -2.1937 | Improved by Teacher| A man holding a Nintendo Wii game controller.
Image 173| Score: -2.1650 | Improved by Teacher| Two women sitting on a blanket looking at cellular phones.
Image 174| Score: -2.0277 | Improved by Teacher| The person was standing on the snow skiing course in his skis.
Image 175| Score: -1.9952 | Improved by Teacher| people walking in snow on a ski slope
Image 176| Score: -1.7952 | Improved by Teacher| A young child holds a hair dryer to her hair.
Image 177| Score: -1.3673 | Improved by Teacher| a bunch of people are together in the snow 
Image 178| Score: -2.0531 | Improved by Teacher| The man looks up at a small child sitting on a refrigerator.
Image 179| Score: -0.9108 | Improved by Teacher| A market display case filled with different colored vegetables.
Image 180| Score: -2.2076 | Improved by Teacher| Two sings that are in a bathroom underneath a mirror.
Image 181| Score: -2.0089 | Improved by Teacher| Two adult bears play fight in the water.
Image 182| Score: -2.0396 | Improved by Teacher| Vase with a handle containing flowers sitting on table. 
Image 183| Score: -0.7399 | Improved by Teacher| A vase full of flowers sitting beside a blue piece of pottery.
Image 184| Score: -1.4113 | Improved by Teacher| A man showing off a toothbrush and other toiletries.
Image 185| Score: -1.8779 | Improved by Teacher| A woman looking down at a set of luggage to her right.
Image 186| Score: -1.8677 | Improved by Teacher| Three people stand in front of the giraffe zoo section.
Image 187| Score: -0.9879 | Improved by Teacher| A lone skier is skiing down a path.
Image 188| Score: -0.2817 | Improved by Teacher| A man is riding in a horse drawn carriage
Image 189| Score: 0.0170 | Improved by Teacher| a white dog is standing in a small boat
Image 190| Score: -1.6239 | Improved by Teacher| A couple laying under an umbrella at a park.
Image 191| Score: -2.2256 | Improved by Teacher| A man holding a white object in his hand.
Image 192| Score: -1.0604 | Improved by Teacher| A flock of doves and a man sitting in a park.
Image 193| Score: -1.7173 | Improved by Teacher| This image is of a batter taking a swing during a baseball game.
Image 194| Score: -0.5959 | Improved by Teacher| A silver fire hydrant at night with trash all around it
Image 195| Score: -1.4784 | Improved by Teacher| Four zebras are grazing on grass in a pasture.
Image 196| Score: -0.4631 | Improved by Teacher| A cat sitting on top of a suitcase on a bed.
Image 197| Score: -0.8397 | Improved by Teacher| A train sitting next to a platform in a tunnel.
Image 198| Score: -1.6498 | Improved by Teacher| The unnatural looking stance of a professional baseball pitcher
Image 199| Score: -0.7422 | Improved by Teacher| A small, neat and clean yellow bathroom set up.
Image 200| Score: -0.9612 | Improved by Teacher| A bathroom with a toilet, a urinal and a sink, all white
Image 201| Score: -1.2108 | Improved by Teacher| A cup with food and a fork sitting in it.
Image 202| Score: -1.8062 | Improved by Teacher| Two black elephants seem somewhat distant near the small lake. 
Image 203| Score: -1.9705 | Improved by Teacher| Group of Nordic skiers in full gear, with packs, following in line across a landscape.
Image 204| Score: -0.3410 | Improved by Teacher| A train is coming down the track in Hawaii.
Image 205| Score: -1.9861 | Improved by Teacher| Construction workers use a bulldozer and truck to move dirt.
Image 206| Score: -1.2130 | Improved by Teacher| A man sitting on a wooden bench playing a guitar in a park.
Image 207| Score: -0.6866 | Improved by Teacher| A young man posing beside his red racing motorcycle.
Image 208| Score: -1.0453 | Improved by Teacher| A stop sign near a street corner by a tree
Image 209| Score: -1.9998 | Improved by Teacher| The horse carriage is driving down the street.
Image 210| Score: -2.1109 | Improved by Teacher| two women are playing video games and a couch
Image 211| Score: -2.0997 | Improved by Teacher| Four guys in a room playing with a wii.
Image 212| Score: -0.6296 | Improved by Teacher| A view of a clock tower from across the way.
Image 213| Score: -0.9827 | Improved by Teacher| An intersection with a stop sign and highway signs.
Image 214| Score: -1.0043 | Improved by Teacher| there is a memorial of roberto clemente next to a baseball field
Image 215| Score: -1.4726 | Improved by Teacher| A green street light in between two buildings.
Image 216| Score: -1.1337 | Improved by Teacher| A vine of red peppers hanging off a cabinet.
Image 217| Score: -1.0316 | Improved by Teacher| A cake with frosting sitting on a pedestal.
Image 218| Score: -0.6674 | Improved by Teacher| A herd of elephants walking across a grass field.
Image 219| Score: -1.3467 | Improved by Teacher| A red and yellow bus parked while a man walks by. 
Image 220| Score: -1.1378 | Improved by Teacher| A white high tech toilet with an open seat.
Image 221| Score: -0.6167 | Improved by Teacher| A bathroom has blue carpet and a tub.
Image 222| Score: -0.4760 | Improved by Teacher| a very larg pizza with some nice toppings on it
Image 223| Score: -1.0971 | Improved by Teacher| A woman is looking at sheep off in a field
Image 224| Score: -0.6782 | Improved by Teacher| A fighter jet flying through a  cloudy sky.
Image 225| Score: -1.1781 | Improved by Teacher| A variety of signs on a street corner.
Image 226| Score: -0.6805 | Improved by Teacher| A railroad train passing underneath an under pass.
Image 227| Score: -1.8677 | Improved by Teacher| Two elephants hold people and stand near a tree.
Image 228| Score: -1.4436 | Improved by Teacher| City bus going down the street in an urban setting
Image 229| Score: -1.7967 | Improved by Teacher| Door to take out restaurant on street corner.
Image 230| Score: -1.1197 | Improved by Teacher| A beer sits untouched on a table with other food
Image 231| Score: -2.0009 | Improved by Teacher| People are sitting on the sidewalk and relaxing by the river.
Image 232| Score: -0.8065 | Improved by Teacher| A little girl taking a bite out a a giant burger.
Image 233| Score: -0.6141 | Improved by Teacher| A herd of adult elephants with a baby elephant waling through a forest.
Image 234| Score: -0.4141 | Improved by Teacher| A baseball player taking  a swing at a ball
Image 235| Score: -0.7622 | Improved by Teacher| A hot fudge sundae with a red cherry on top. 
Image 236| Score: -0.7413 | Improved by Teacher| A man sitting on a bench holding a wooden guitar.
Image 237| Score: -1.1228 | Improved by Teacher| A woman catches a soccer ball during a game. 
Image 238| Score: -0.9829 | Improved by Teacher| A bicycle leaning on a building near a train track.
Image 239| Score: -2.1073 | Improved by Teacher| THERE ARE TELEPHONES THAT ARE ON DISPLAY 
Image 240| Score: -1.6706 | Improved by Teacher| A row of parked vehicles in front of a tall building.
Image 241| Score: -1.8184 | Improved by Teacher| The plate has broccoli and slices of tomato and onion.
Image 242| Score: -1.5995 | Improved by Teacher| three baseball players and one is hitting the ball
Image 243| Score: -0.8352 | Improved by Teacher| A building with a clock on the outside of it and a compass on top of it.
Image 244| Score: -0.2981 | Improved by Teacher| A cat lays its head on the laptop keyboard. 
Image 245| Score: -0.6308 | Improved by Teacher| A street scene looking at cars and an intersection in the background.
Image 246| Score: -0.6291 | Improved by Teacher| A person in a costume skiing down a snowy slope.
Image 247| Score: -0.6271 | Improved by Teacher| A striped cat is laying on a kitchen chair.
Image 248| Score: -0.8001 | Improved by Teacher| A male walking out of the water holding a surf board.
Image 249| Score: -1.9467 | Improved by Teacher| two benches near each other in a field near water 
Image 250| Score: -2.0551 | Improved by Teacher| black and white photo of boys playing on a street sidewalk
Image 251| Score: -0.8057 | Improved by Teacher| A group of zebra grazing grass with a backdrop of bushes.
Image 252| Score: -2.0339 | Improved by Teacher| Several young men playing a game of Frisbee together.
Image 253| Score: -0.2694 | Improved by Teacher| A large black and brown dog sitting in  a dog bead.
Image 254| Score: -2.1736 | Improved by Teacher| Two cats sleeping on top of a bed next to pillows.
Image 255| Score: -0.6503 | Improved by Teacher| A picture of a empty street very late at night.
Image 256| Score: -0.6816 | Improved by Teacher| A large clock is underneath the sign of a spacious station.
Image 257| Score: -0.8799 | Improved by Teacher| A bathroom with a toilet, sink, and shower.
Image 258| Score: -1.3488 | Improved by Teacher| A baseball cap and catchers mitt sitting on the ground.
Image 259| Score: -1.5817 | Improved by Teacher| Two zebras are looking at the plants on the ground.
Image 260| Score: -1.3045 | Improved by Teacher| A group of young men and women sitting at a table.
Image 261| Score: -0.8609 | Improved by Teacher| A man in a purple shirt holding a soccer ball next to other soccer players.
Image 262| Score: -0.2887 | Improved by Teacher| A cat laying down in a open suitcase on a bed.
Image 263| Score: -0.9062 | Improved by Teacher| a cheese pizza cut into many slices on a table
Image 264| Score: -1.1283 | Improved by Teacher| A group of people standing outside of a white store.
Image 265| Score: -1.2017 | Improved by Teacher| A white sink and toilet in a room.
Image 266| Score: -2.2231 | Improved by Teacher| There is toothpaste on the bristles of a pink toothbrush on the counter in front of a sculpture made of miniature Amazon boxes.
Image 267| Score: -0.9397 | Improved by Teacher| A person riding a bike next to a large body of water.
Image 268| Score: -1.1971 | Improved by Teacher| A pizza cutter is designed to look like the Enterprise
Image 269| Score: -0.8885 | Improved by Teacher| an old man with a white dog on a leash and a bench
Image 270| Score: -0.8357 | Improved by Teacher| A skillet of food has broccoli as one of its ingredients.
Image 271| Score: -2.0199 | Improved by Teacher| A child holding a Motorola cell phone in its hand 
Image 272| Score: -1.9401 | Improved by Teacher| Large crowd gathered to watch decorative a fleet of decorative kites.
Image 273| Score: -0.5282 | Improved by Teacher| A little girl sitting on a bench in front of some ivy with her stuffed animal
Image 274| Score: -1.2967 | Improved by Teacher| some giraffes leaning their necks over a fence 
Image 275| Score: -0.2058 | Improved by Teacher| A very up close shot of a tasty hamburger and french fries.
Image 276| Score: -0.6645 | Improved by Teacher| A pizza cut into four sitting on top of a wooden cutting board.
Image 277| Score: -2.1143 | Improved by Teacher| Chicken, broccoli, and macaroni and cheese served an on orange plate. 
Image 278| Score: -1.5011 | Improved by Teacher| A group of people walking across a busy city street.
Image 279| Score: -0.9668 | Improved by Teacher| A large construction vehicle is stopped on the road by a policeman.
Image 280| Score: -0.8829 | Improved by Teacher| A large clock mounted to the side of a tall building.
Image 281| Score: -0.9217 | Improved by Teacher| A young girl is holding a ball in the field
Image 282| Score: -0.7882 | Improved by Teacher| A woman standing on a tennis court with a  tennis racquet.
Image 283| Score: -0.9233 | Improved by Teacher| A pile of fruit sitting on top of a wooden table.
Image 284| Score: -1.2149 | Improved by Teacher| An irregularly shaped pizza is placed in between two forks
Image 285| Score: -1.0524 | Improved by Teacher| A man with a skateboard and a dog in a park.
Image 286| Score: -0.5288 | Improved by Teacher| A group of lambs that are standing in the grass.
Image 287| Score: -1.8746 | Improved by Teacher| Small airplanes are parked on a grassy field.
Image 288| Score: -1.0271 | Improved by Teacher| Baseball pitchers have their own unique stance when throwing a ball.
Image 289| Score: -0.7692 | Improved by Teacher| A man is skateboarding down an open road.
Image 290| Score: -0.6981 | Improved by Teacher| A dog lies on his side on a throw rug
Image 291| Score: -1.5336 | Improved by Teacher| The giraffes are standing together on the grass
Image 292| Score: -0.9467 | Improved by Teacher| a person skiing down part of a marked race course 
Image 293| Score: -1.7685 | Improved by Teacher| Inside a bathroom stall with a toilet, toilet seat covers and a decorated wall.
Image 294| Score: -1.5815 | Improved by Teacher| A black and white picture of a person on a tennis court through the fence
Image 295| Score: -1.5706 | Improved by Teacher| Several cows are gathered together in a grassy field. 
Image 296| Score: -2.0065 | Improved by Teacher| Person on a motorcycle coming up to a stop sign on the street.
Image 297| Score: -1.9307 | Improved by Teacher| Two animals in the middle of a field.
Image 298| Score: -0.5916 | Improved by Teacher| A man in a kitchen smiles towards a camera
Image 299| Score: -2.1396 | Improved by Teacher| A man in white shirt playing a game with Nintendo Wii controller.
Image 300| Score: -0.7740 | Improved by Teacher| A dog laying down on a blanket next to some books
Image 301| Score: -0.5215 | Improved by Teacher| a brown cow standing next some other cows 
Image 302| Score: -2.0486 | Improved by Teacher| the bike is coming down the street with his lights on
Image 303| Score: -0.8691 | Improved by Teacher| A boy who is skateboarding does a trick. 
Image 304| Score: -2.0077 | Improved by Teacher| Competior preparing to return volley during tennis match.
Image 305| Score: -0.6633 | Improved by Teacher| A plate contains olives, mushrooms, broccoli, and bread.
Image 306| Score: -2.0831 | Improved by Teacher| there is a young boy that is riding a skateboard
Image 307| Score: -0.4941 | Improved by Teacher| A empty bench in a grassy field with yellow flowers surrounding it and a lake and mountains in the background.
Image 308| Score: -1.6494 | Improved by Teacher| A woman holding a baby boy in her hands.
Image 309| Score: -1.0558 | Improved by Teacher| a man with tribal markings sits smiling taking something from a standing man
Image 310| Score: -1.6744 | Improved by Teacher| There are three elephants standing beside a pool of water. 
Image 311| Score: -1.2195 | Improved by Teacher| A black cat sleeping on a white bedspread.
Image 312| Score: -0.8645 | Improved by Teacher| A bunch of people skiing on the snow during the day.
Image 313| Score: -1.2294 | Improved by Teacher| A group of people standing with luggage by their car
Image 314| Score: -1.2315 | Improved by Teacher| a person in a sweater holding a cake over a paper plate
Image 315| Score: -2.0730 | Improved by Teacher| Pictures with various shades of green are arranged in a grid pattern.
Image 316| Score: -2.1940 | Improved by Teacher| Two tennis players talking on a tennis court
Image 317| Score: -2.1435 | Improved by Teacher| Skiers are going down a steep slope on a cloudy day. 
Image 318| Score: -0.1905 | Improved by Teacher| An old man is sleeping on a park bench.
Image 319| Score: -1.0539 | Improved by Teacher| Three zebra standing on a road in a grassy field.
Image 320| Score: -1.6057 | Improved by Teacher| a number of luggage bags piled on one another 
Image 321| Score: -0.5874 | Improved by Teacher| a bird with a large sing span flying over trees
Image 322| Score: -1.2201 | Improved by Teacher| a man is sitting in front of a small cake
Image 323| Score: -2.0699 | Improved by Teacher| Two men holding oranges on a city street. 
Image 324| Score: -2.0094 | Improved by Teacher| Two small airplanes parked on a lush green field.
Image 325| Score: -1.1339 | Improved by Teacher| a line of toilets that are next to a wall
Image 326| Score: -2.1282 | Improved by Teacher| The man squats down while surfing through a wave.
