Image 0| Score: -0.5694 | Improved by Teacher| Green commercial building with refrigerator and refrigeration units outside.
Image 33| Score: 1.6107 | Kept from Student| A big furry black and white cat is sitting on top of a leather suitcase.
Image 34| Score: 1.5058 | Kept from Student| A person flying a kite at the beach with another person.
Image 35| Score: -1.0369 | Improved by Teacher| Woman bent slightly on skis wearing goggles and snowsuit.
Image 36| Score: 1.4735 | Kept from Student| A bed that has a large painting behind it.
Image 37| Score: -0.2361 | Improved by Teacher| A small pizza on a plate with a fork beside it on a table.
Image 38| Score: 0.8893 | Kept from Student| A plate of food that includes rice and various vegetables.
Image 39| Score: 1.6822 | Kept from Student| A bearded man in a wetsuit holding a surfboard. 
Image 40| Score: 1.0158 | Kept from Student| A young man holding a walkie talkie while wearing an orange shirt.
Image 41| Score: 1.8931 | Kept from Student| A man smiles while holding a wine glass
Image 42| Score: 1.2228 | Kept from Student| a stop sign and no outlet sign by a snowy mountain
Image 43| Score: -0.3836 | Improved by Teacher| A women who is holding up a cell phone.
Image 44| Score: 0.1111 | Improved by Teacher| A tray of scissors is on a table with a lamp and candles.
Image 45| Score: -0.1504 | Improved by Teacher| a man looking at a cell phone with a magnifying lens
Image 46| Score: -0.7796 | Improved by Teacher| Jet airplane in flight landing gear extended down
Image 47| Score: -1.3016 | Improved by Teacher| A man is looking through a selection of ties.
Image 48| Score: -1.2981 | Improved by Teacher| A may laying in on a bed with his right breasteses hanging out.
Image 49| Score: -0.0025 | Improved by Teacher| Various fruits and vegetables are on display close together.
Image 50| Score: 1.0384 | Kept from Student| A kitchen filled with a wooden cabinet and a large window.
Image 51| Score: 0.8777 | Kept from Student| A boy is walking with a wet suit and carrying his surf board under his arm.
Image 52| Score: -1.6927 | Improved by Teacher| A sculpture of iron standing in front of a tall white building.
Image 53| Score: -1.3564 | Improved by Teacher| A double deck bus that is next to a building.
Image 54| Score: 0.9976 | Kept from Student| Two donuts, banana, cup and a book on the table.
Image 55| Score: 1.8001 | Kept from Student| A container with three sections, each containing different fruits and vegetables.
Image 56| Score: 0.3655 | Improved by Teacher| A plate with hot dogs and cherry tomatoes 
Image 57| Score: 0.6878 | Kept from Student| The elephant is walking around in the park.
Image 58| Score: 1.4128 | Kept from Student| A green truck traveling down a road with a wooden flatbed.
Image 59| Score: 1.0653 | Kept from Student| A group of vegetables on top of  a dark surface.
Image 60| Score: 0.3891 | Improved by Teacher| Female tennis player about to hit the ball
Image 61| Score: 0.2941 | Improved by Teacher| a man that is on a skateboard that is on a ramp
Image 62| Score: 0.0887 | Improved by Teacher| Two people are standing in snow carrying ski poles and skis on their shoulders. 
Image 63| Score: 1.2467 | Kept from Student| a jockey is seen riding his horse on a grass field 
Image 64| Score: 0.0540 | Improved by Teacher| A bathroom with no walls and a toilet bowl
Image 65| Score: 1.2804 | Kept from Student| A group of lawn chairs sitting on top of a beach.
Image 66| Score: 0.0949 | Improved by Teacher| A city square decorated with a tree and lights
Image 67| Score: -1.0828 | Improved by Teacher| A dog sits on a tennis court next to tennis equipment. 
Image 68| Score: 1.4108 | Kept from Student| a group of people watching giraffes in the zoo
Image 69| Score: 1.1963 | Kept from Student| A plate with spaghetti, red sauce, broccoli and a coca cola on the side.
Image 70| Score: 0.0803 | Improved by Teacher| A plate of food with a fried egg and colorful vegetables.
Image 71| Score: -1.4609 | Improved by Teacher| A plastic fork on top of a lid sitting on a bench.
Image 72| Score: 0.0272 | Improved by Teacher| A man brushing his teeth in the bathroom.
Image 73| Score: 0.5927 | Improved by Teacher| A group of friends sitting inside their living room.
Image 74| Score: 1.8318 | Kept from Student| Motorcycles are riding down the road toward the sun. 
Image 75| Score: 1.6173 | Kept from Student| A vase filled with purple flowers and green plants.
Image 76| Score: 1.7582 | Kept from Student| This room has a bed with blue sheets and a large bookcase
Image 77| Score: -1.0777 | Improved by Teacher| A street with traffic lights, wall and buildings.
Image 78| Score: 0.7639 | Kept from Student| A very young boy and girl holding Wii controllers playing a video game.
Image 79| Score: 0.8464 | Kept from Student| the person is on his skateboard going up the ramp 
Image 80| Score: 0.1391 | Improved by Teacher| Three cakes are sitting in a row on a bakery table.
Image 81| Score: 1.6072 | Kept from Student| Two horses are standing behind a stone wall.
Image 82| Score: 0.3966 | Improved by Teacher| A compilation of pictures of old bathroom fixtures.
Image 83| Score: 1.3745 | Kept from Student| A bunch of kids standing on top of a skateboarding ramp.
Image 84| Score: 1.1040 | Kept from Student| a close up of some motorcycles parked on a grassy field
Image 85| Score: 1.3985 | Kept from Student| A group of horse racers approaching a turn on the track.
Image 86| Score: 1.2726 | Kept from Student|  A young boy balancing himself on his skateboard.
Image 87| Score: 1.3484 | Kept from Student| a woman with a hat swinging a tennis racquet
Image 88| Score: 0.8630 | Kept from Student| There are many cars driving along the road at night.
Image 89| Score: -1.0332 | Improved by Teacher| Several black and white sheep near a sofa in a field.
Image 90| Score: 1.4751 | Kept from Student| A couple of motor bikes parked on top of a green surface.
Image 91| Score: -0.7575 | Improved by Teacher| Cat standing next to rocking chair on sheets with walls
Image 92| Score: 1.0951 | Kept from Student| a couple of plants sit in front of a window 
Image 93| Score: 1.1006 | Kept from Student| A bird stands on rocks across the water from a lighthouse.
Image 94| Score: 1.5357 | Kept from Student| An open-air festival in India with umbrellas, women in saris, and an ascetic. 
Image 95| Score: 0.6926 | Kept from Student| Adults enjoying each others company in residential kitchen.
Image 96| Score: 0.2404 | Improved by Teacher| A tour bus is empty on a downtown road.
Image 97| Score: 0.4403 | Improved by Teacher| A person hitting a tennis ball on a court.
Image 98| Score: 0.4912 | Improved by Teacher| a couple of microwaves that are next to each other
Image 99| Score: 0.2075 | Improved by Teacher| A professional tennis player hits a ball as fans watch.
Image 100| Score: 0.9233 | Kept from Student| some people boats and birds in the water
Image 101| Score: 1.4079 | Kept from Student| a couple of people are in line at a vendor
Image 102| Score: -0.3644 | Improved by Teacher| A man smiles as he moves through the snow holding ski poles. 
Image 103| Score: 1.5619 | Kept from Student| Graffiti of a basketball player holding an umbrella
Image 104| Score: 1.4725 | Kept from Student| A green and white rain next to a phone booth.
Image 105| Score: -0.0104 | Improved by Teacher| A row of black chairs against a red wall with a clock.
Image 106| Score: 1.7922 | Kept from Student| there is a fire hydrant that is painted all silver
Image 107| Score: -0.1890 | Improved by Teacher| A orange is hanging on a branch on the tree.
Image 108| Score: -0.2330 | Improved by Teacher| The toilet is clean and ready for customers to use.
Image 109| Score: 1.1239 | Kept from Student| Six large suitcases stacked up against the wall.
Image 110| Score: -0.2852 | Improved by Teacher| A bathroom with a toilet and a striped shower curtain.
Image 111| Score: 1.0773 | Kept from Student| A city at night with people walking around.
Image 112| Score: 0.1657 | Improved by Teacher| A hand is lifting up the top bread of a sub sandwich.
Image 113| Score: 0.6548 | Kept from Student| A herd of cattle grazing on the side of a hill.
Image 114| Score: 1.5451 | Kept from Student| A girl is washing grapes in a sink.
Image 115| Score: 1.3793 | Kept from Student| A woman preparing food for cooking in her kitchen.
Image 116| Score: 0.4109 | Improved by Teacher| a man standing on a tennis court while people watch him 
Image 117| Score: 0.8836 | Kept from Student| A pizza with bacon bits and spinach leaves on it.
Image 118| Score: -0.5749 | Improved by Teacher| Fruit, including oranges, apples and lemons, sits underneath hanging bananas.
Image 119| Score: -0.2374 | Improved by Teacher| Adult elephant standing close to a baby elephant 
Image 120| Score: 0.0312 | Improved by Teacher| A photograph of a kitchen inside a house.
Image 121| Score: 0.0398 | Improved by Teacher| a room with many screen and a very big map
Image 122| Score: 1.5786 | Kept from Student| A man wearing a collar shirt with a blue tie
Image 123| Score: 1.1328 | Kept from Student| a living room with a bright red couch next to a yellow wall 
Image 124| Score: 0.8026 | Kept from Student| Two ducks swim in a pond with green water.
Image 125| Score: 1.2551 | Kept from Student| A stuffed monkey that is sitting on some boxes.
Image 126| Score: 0.7855 | Kept from Student| Cars are parked in the lot of a gas station.
Image 127| Score: 0.4991 | Improved by Teacher| a little dog checking out a pet bed
Image 128| Score: 1.0134 | Kept from Student| A couple Of Girls are playing a soccer game
Image 129| Score: 0.8188 | Kept from Student| a peice of carrot cake that is on a plate
Image 130| Score: 0.1987 | Improved by Teacher| Boats are docked in a lake by a road.
Image 131| Score: 1.6207 | Kept from Student| A bed with white and gray bedding and netting overhead.
Image 132| Score: 1.2265 | Kept from Student| A group of flamingos standing next to each other in water.
Image 133| Score: 0.0135 | Improved by Teacher| Snow covered picnic benches overlooking a parking lot.
Image 134| Score: 0.4508 | Improved by Teacher| People preparing to ski down a snow covered slope.
Image 135| Score: 1.2145 | Kept from Student| Two men look down into a computer monitor on a desk.
Image 136| Score: -0.1456 | Improved by Teacher| A man in a brown shirt helping a lady with a Nintendo Wii controller.
Image 137| Score: 0.2791 | Improved by Teacher| A dog sitting upright with its hands on a laptop.
Image 138| Score: 0.3331 | Improved by Teacher| A table has colorful flowers and food on it.
Image 139| Score: -1.0833 | Improved by Teacher| A person grabbing a slice of pizza from a pizza box.
Image 140| Score: 1.1195 | Kept from Student| A dog is in the air with a frisbee in its mouth
Image 141| Score: 1.2097 | Kept from Student| a bunch of wine bottles sit on top of a table 
Image 142| Score: 0.9387 | Kept from Student| Two vases of fresh flowers sit on top of the table.
Image 143| Score: 1.5717 | Kept from Student| A close up of a red and black bird on a rock.
Image 144| Score: -0.2489 | Improved by Teacher| the edge of a sink with a toothbrush floss and lotion
Image 145| Score: 1.7398 | Kept from Student| Many people walk on the narrow street underneath many strings with flags on them.
Image 146| Score: -0.7486 | Improved by Teacher| Large white bathroom showing sink, tub, TV, and countertops.
Image 147| Score: 0.5418 | Improved by Teacher| A pile of different types of vegetables on top of each other.
Image 148| Score: -1.3501 | Improved by Teacher| A cat on a chair holding a remote control.
Image 149| Score: 1.9401 | Kept from Student| A blurry shot of someone on a bicycle holding an umbrella 
Image 150| Score: 0.0374 | Improved by Teacher| A man riding on a skateboard up on to a ledge.
Image 151| Score: 0.4728 | Improved by Teacher| a woman is out on a court playing tennis
Image 152| Score: 0.8621 | Kept from Student| Two beds with decorative wooden headboard and foot board, one is a double and one is a single
Image 153| Score: -0.4337 | Improved by Teacher| There is a young boy throwing a baseball
Image 154| Score: -0.2836 | Improved by Teacher| a close up of a person holding an electronic device
Image 155| Score: -0.9357 | Improved by Teacher| many bikes parked on a fence near the street
Image 156| Score: 1.1158 | Kept from Student| A man and a woman eating dinner at a table.
Image 157| Score: 1.6001 | Kept from Student| The man has a green coat and blue tie. 
Image 158| Score: 0.0846 | Improved by Teacher| rusted scissors out in the field with grass growing around it.
Image 159| Score: -1.2060 | Improved by Teacher| A man standing by a large air gondola that is docked in a station
Image 160| Score: -0.1870 | Improved by Teacher| A blue, yellow and red train driving through on a train track. 
Image 161| Score: 1.2140 | Kept from Student| a couple of elephants walking off a path
Image 162| Score: -0.1617 | Improved by Teacher| a woman is standing outside with an umbrella
Image 163| Score: 0.5791 | Improved by Teacher| Bundles of rope are on a cart in front of a train.
Image 164| Score: 0.1700 | Improved by Teacher| Two men play against each other in Wii Bowling.
Image 165| Score: 1.5561 | Kept from Student| An orange trolley is on the street next to a building with a lot of windows.
Image 166| Score: 0.6305 | Kept from Student| a woman sitting on a suitcase at the end of a motor home 
Image 167| Score: 0.7641 | Kept from Student| A man taking a photo of food on a table.
Image 168| Score: 1.3776 | Kept from Student| A woman sleeping on a plane with a window view of the wing.
Image 169| Score: -0.9344 | Improved by Teacher| Windows are open on the back of a truck. 
Image 170| Score: -0.6752 | Improved by Teacher| Here is a scale weighing a tan piece of luggage.
Image 171| Score: -1.1499 | Improved by Teacher| A vase in a case next to other items. 
Image 172| Score: 0.8151 | Kept from Student| A man holding a Nintendo Wii game controller.
Image 173| Score: 1.7541 | Kept from Student| Two women sitting on a blanket looking at cellular phones.
Image 174| Score: 0.3035 | Improved by Teacher| The person was standing on the snow skiing course in his skis.
Image 175| Score: 1.0520 | Kept from Student| people walking in snow on a ski slope
Image 176| Score: 1.7327 | Kept from Student| A young child holds a hair dryer to her hair.
Image 177| Score: 0.0276 | Improved by Teacher| a bunch of people are together in the snow 
Image 178| Score: 0.3264 | Improved by Teacher| The man looks up at a small child sitting on a refrigerator.
Image 179| Score: 0.8627 | Kept from Student| A market display case filled with different colored vegetables.
Image 180| Score: 0.0955 | Improved by Teacher| Two sings that are in a bathroom underneath a mirror.
Image 181| Score: 1.6057 | Kept from Student| Two adult bears play fight in the water.
Image 182| Score: 1.4182 | Kept from Student| Vase with a handle containing flowers sitting on table. 
Image 183| Score: 1.1279 | Kept from Student| A vase full of flowers sitting beside a blue piece of pottery.
Image 184| Score: 0.9046 | Kept from Student| A man showing off a toothbrush and other toiletries.
Image 185| Score: 1.1793 | Kept from Student| A woman looking down at a set of luggage to her right.
Image 186| Score: 0.1949 | Improved by Teacher| Three people stand in front of the giraffe zoo section.
Image 187| Score: 0.9927 | Kept from Student| A lone skier is skiing down a path.
Image 188| Score: 0.0916 | Improved by Teacher| A man is riding in a horse drawn carriage
Image 189| Score: 1.6323 | Kept from Student| a white dog is standing in a small boat
Image 190| Score: -1.1158 | Improved by Teacher| A couple laying under an umbrella at a park.
Image 191| Score: 0.5057 | Improved by Teacher| A man holding a white object in his hand.
Image 192| Score: 1.9682 | Kept from Student| A flock of doves and a man sitting in a park.
Image 193| Score: 0.9963 | Kept from Student| This image is of a batter taking a swing during a baseball game.
Image 194| Score: 1.8750 | Kept from Student| A silver fire hydrant at night with trash all around it
Image 195| Score: -0.0197 | Improved by Teacher| Four zebras are grazing on grass in a pasture.
Image 196| Score: 0.9888 | Kept from Student| A cat sitting on top of a suitcase on a bed.
Image 197| Score: 0.0647 | Improved by Teacher| A train sitting next to a platform in a tunnel.
Image 198| Score: -0.0146 | Improved by Teacher| The unnatural looking stance of a professional baseball pitcher
Image 199| Score: 1.1264 | Kept from Student| A small, neat and clean yellow bathroom set up.
Image 200| Score: 0.0726 | Improved by Teacher| A bathroom with a toilet, a urinal and a sink, all white
Image 201| Score: 0.3575 | Improved by Teacher| A cup with food and a fork sitting in it.
Image 202| Score: 0.5438 | Improved by Teacher| Two black elephants seem somewhat distant near the small lake. 
Image 203| Score: 1.3775 | Kept from Student| Group of Nordic skiers in full gear, with packs, following in line across a landscape.
Image 204| Score: -0.5170 | Improved by Teacher| A train is coming down the track in Hawaii.
Image 205| Score: -0.9159 | Improved by Teacher| Construction workers use a bulldozer and truck to move dirt.
Image 206| Score: 1.7395 | Kept from Student| A man sitting on a wooden bench playing a guitar in a park.
Image 207| Score: 1.4262 | Kept from Student| A young man posing beside his red racing motorcycle.
Image 208| Score: 0.9162 | Kept from Student| A stop sign near a street corner by a tree
Image 209| Score: 1.1368 | Kept from Student| The horse carriage is driving down the street.
Image 210| Score: -1.3625 | Improved by Teacher| two women are playing video games and a couch
Image 211| Score: 0.9362 | Kept from Student| Four guys in a room playing with a wii.
Image 212| Score: -0.2838 | Improved by Teacher| A view of a clock tower from across the way.
Image 213| Score: -0.3076 | Improved by Teacher| An intersection with a stop sign and highway signs.
Image 214| Score: 1.0238 | Kept from Student| there is a memorial of roberto clemente next to a baseball field
Image 215| Score: -0.4531 | Improved by Teacher| A green street light in between two buildings.
Image 216| Score: 0.4096 | Improved by Teacher| A vine of red peppers hanging off a cabinet.
Image 217| Score: 1.3779 | Kept from Student| A cake with frosting sitting on a pedestal.
Image 218| Score: 0.6824 | Kept from Student| A herd of elephants walking across a grass field.
Image 219| Score: 0.6634 | Kept from Student| A red and yellow bus parked while a man walks by. 
Image 220| Score: -0.0606 | Improved by Teacher| A white high tech toilet with an open seat.
Image 221| Score: 1.3649 | Kept from Student| A bathroom has blue carpet and a tub.
Image 222| Score: 0.7781 | Kept from Student| a very larg pizza with some nice toppings on it
Image 223| Score: 1.3031 | Kept from Student| A woman is looking at sheep off in a field
Image 224| Score: 1.3001 | Kept from Student| A fighter jet flying through a  cloudy sky.
Image 225| Score: 0.1720 | Improved by Teacher| A variety of signs on a street corner.
Image 226| Score: -1.0271 | Improved by Teacher| A railroad train passing underneath an under pass.
Image 227| Score: -0.6316 | Improved by Teacher| Two elephants hold people and stand near a tree.
Image 228| Score: 1.1247 | Kept from Student| City bus going down the street in an urban setting
Image 229| Score: 0.5221 | Improved by Teacher| Door to take out restaurant on street corner.
Image 230| Score: 0.7538 | Kept from Student| A beer sits untouched on a table with other food
Image 231| Score: 1.7339 | Kept from Student| People are sitting on the sidewalk and relaxing by the river.
Image 232| Score: 1.5621 | Kept from Student| A little girl taking a bite out a a giant burger.
Image 233| Score: -0.1159 | Improved by Teacher| A herd of adult elephants with a baby elephant waling through a forest.
Image 234| Score: 1.0544 | Kept from Student| A baseball player taking  a swing at a ball
Image 235| Score: 0.3874 | Improved by Teacher| A hot fudge sundae with a red cherry on top. 
Image 236| Score: 1.1632 | Kept from Student| A man sitting on a bench holding a wooden guitar.
Image 237| Score: -0.5920 | Improved by Teacher| A woman catches a soccer ball during a game. 
Image 238| Score: -0.3706 | Improved by Teacher| A bicycle leaning on a building near a train track.
Image 239| Score: 0.9554 | Kept from Student| THERE ARE TELEPHONES THAT ARE ON DISPLAY 
Image 240| Score: 0.6111 | Improved by Teacher| A row of parked vehicles in front of a tall building.
Image 241| Score: 0.2854 | Improved by Teacher| The plate has broccoli and slices of tomato and onion.
Image 242| Score: 0.9747 | Kept from Student| three baseball players and one is hitting the ball
Image 243| Score: -1.3213 | Improved by Teacher| A building with a clock on the outside of it and a compass on top of it.
Image 244| Score: 0.8235 | Kept from Student| A cat lays its head on the laptop keyboard. 
Image 245| Score: -0.0718 | Improved by Teacher| A street scene looking at cars and an intersection in the background.
Image 246| Score: 0.5515 | Improved by Teacher| A person in a costume skiing down a snowy slope.
Image 247| Score: -0.3204 | Improved by Teacher| A striped cat is laying on a kitchen chair.
Image 248| Score: 1.2641 | Kept from Student| A male walking out of the water holding a surf board.
Image 249| Score: 1.5814 | Kept from Student| two benches near each other in a field near water 
Image 250| Score: 1.4414 | Kept from Student| black and white photo of boys playing on a street sidewalk
Image 251| Score: -0.0216 | Improved by Teacher| A group of zebra grazing grass with a backdrop of bushes.
Image 252| Score: -0.0156 | Improved by Teacher| Several young men playing a game of Frisbee together.
Image 253| Score: -0.4084 | Improved by Teacher| A large black and brown dog sitting in  a dog bead.
Image 254| Score: -0.0858 | Improved by Teacher| Two cats sleeping on top of a bed next to pillows.
Image 255| Score: 1.1936 | Kept from Student| A picture of a empty street very late at night.
Image 256| Score: -0.7803 | Improved by Teacher| A large clock is underneath the sign of a spacious station.
Image 257| Score: -0.0286 | Improved by Teacher| A bathroom with a toilet, sink, and shower.
Image 258| Score: -1.4578 | Improved by Teacher| A baseball cap and catchers mitt sitting on the ground.
Image 259| Score: 0.1926 | Improved by Teacher| Two zebras are looking at the plants on the ground.
Image 260| Score: 0.3216 | Improved by Teacher| A group of young men and women sitting at a table.
Image 261| Score: 1.8369 | Kept from Student| A man in a purple shirt holding a soccer ball next to other soccer players.
Image 262| Score: 0.6557 | Kept from Student| A cat laying down in a open suitcase on a bed.
Image 263| Score: 1.4522 | Kept from Student| a cheese pizza cut into many slices on a table
Image 264| Score: 1.0804 | Kept from Student| A group of people standing outside of a white store.
Image 265| Score: 0.6665 | Kept from Student| A white sink and toilet in a room.
Image 266| Score: -0.3155 | Improved by Teacher| There is toothpaste on the bristles of a pink toothbrush on the counter in front of a sculpture made of miniature Amazon boxes.
Image 267| Score: 1.6976 | Kept from Student| A person riding a bike next to a large body of water.
Image 268| Score: -0.4998 | Improved by Teacher| A pizza cutter is designed to look like the Enterprise
Image 269| Score: 1.7662 | Kept from Student| an old man with a white dog on a leash and a bench
Image 270| Score: 1.2031 | Kept from Student| A skillet of food has broccoli as one of its ingredients.
Image 271| Score: -0.2580 | Improved by Teacher| A child holding a Motorola cell phone in its hand 
Image 272| Score: 1.2370 | Kept from Student| Large crowd gathered to watch decorative a fleet of decorative kites.
Image 273| Score: 1.7441 | Kept from Student| A little girl sitting on a bench in front of some ivy with her stuffed animal
Image 274| Score: 0.7941 | Kept from Student| some giraffes leaning their necks over a fence 
Image 275| Score: 1.0963 | Kept from Student| A very up close shot of a tasty hamburger and french fries.
Image 276| Score: 1.4539 | Kept from Student| A pizza cut into four sitting on top of a wooden cutting board.
Image 277| Score: -0.1178 | Improved by Teacher| Chicken, broccoli, and macaroni and cheese served an on orange plate. 
Image 278| Score: 0.2051 | Improved by Teacher| A group of people walking across a busy city street.
Image 279| Score: 1.0245 | Kept from Student| A large construction vehicle is stopped on the road by a policeman.
Image 280| Score: 0.2808 | Improved by Teacher| A large clock mounted to the side of a tall building.
Image 281| Score: 1.8299 | Kept from Student| A young girl is holding a ball in the field
Image 282| Score: 1.3028 | Kept from Student| A woman standing on a tennis court with a  tennis racquet.
Image 283| Score: 0.6454 | Kept from Student| A pile of fruit sitting on top of a wooden table.
Image 284| Score: 0.0570 | Improved by Teacher| An irregularly shaped pizza is placed in between two forks
Image 285| Score: -0.1928 | Improved by Teacher| A man with a skateboard and a dog in a park.
Image 286| Score: 0.9764 | Kept from Student| A group of lambs that are standing in the grass.
Image 287| Score: -0.1461 | Improved by Teacher| Small airplanes are parked on a grassy field.
Image 288| Score: 0.6196 | Kept from Student| Baseball pitchers have their own unique stance when throwing a ball.
Image 289| Score: 0.5295 | Improved by Teacher| A man is skateboarding down an open road.
Image 290| Score: 1.5142 | Kept from Student| A dog lies on his side on a throw rug
Image 291| Score: 0.5200 | Improved by Teacher| The giraffes are standing together on the grass
Image 292| Score: -0.1477 | Improved by Teacher| a person skiing down part of a marked race course 
Image 293| Score: -0.0098 | Improved by Teacher| Inside a bathroom stall with a toilet, toilet seat covers and a decorated wall.
Image 294| Score: 0.6763 | Kept from Student| A black and white picture of a person on a tennis court through the fence
Image 295| Score: 0.3802 | Improved by Teacher| Several cows are gathered together in a grassy field. 
Image 296| Score: 1.3192 | Kept from Student| Person on a motorcycle coming up to a stop sign on the street.
Image 297| Score: 1.0537 | Kept from Student| Two animals in the middle of a field.
Image 298| Score: 0.5292 | Improved by Teacher| A man in a kitchen smiles towards a camera
Image 299| Score: -1.3049 | Improved by Teacher| A man in white shirt playing a game with Nintendo Wii controller.
Image 300| Score: -1.6298 | Improved by Teacher| A dog laying down on a blanket next to some books
Image 301| Score: 0.6668 | Kept from Student| a brown cow standing next some other cows 
Image 302| Score: 0.7753 | Kept from Student| the bike is coming down the street with his lights on
Image 303| Score: 0.1300 | Improved by Teacher| A boy who is skateboarding does a trick. 
Image 304| Score: 0.0822 | Improved by Teacher| Competior preparing to return volley during tennis match.
Image 305| Score: -0.0447 | Improved by Teacher| A plate contains olives, mushrooms, broccoli, and bread.
Image 306| Score: -0.3964 | Improved by Teacher| there is a young boy that is riding a skateboard
Image 307| Score: -0.6195 | Improved by Teacher| A empty bench in a grassy field with yellow flowers surrounding it and a lake and mountains in the background.
Image 308| Score: -0.5192 | Improved by Teacher| A woman holding a baby boy in her hands.
Image 309| Score: 0.8181 | Kept from Student| a man with tribal markings sits smiling taking something from a standing man
Image 310| Score: 1.0539 | Kept from Student| There are three elephants standing beside a pool of water. 
Image 311| Score: 0.1175 | Improved by Teacher| A black cat sleeping on a white bedspread.
Image 312| Score: 0.3942 | Improved by Teacher| A bunch of people skiing on the snow during the day.
Image 313| Score: 1.4868 | Kept from Student| A group of people standing with luggage by their car
Image 314| Score: -0.5311 | Improved by Teacher| a person in a sweater holding a cake over a paper plate
Image 315| Score: -0.3685 | Improved by Teacher| Pictures with various shades of green are arranged in a grid pattern.
Image 316| Score: 1.6660 | Kept from Student| Two tennis players talking on a tennis court
Image 317| Score: 1.1752 | Kept from Student| Skiers are going down a steep slope on a cloudy day. 
Image 318| Score: 1.9050 | Kept from Student| An old man is sleeping on a park bench.
Image 319| Score: 1.1607 | Kept from Student| Three zebra standing on a road in a grassy field.
Image 320| Score: 1.3136 | Kept from Student| a number of luggage bags piled on one another 
Image 321| Score: 1.1554 | Kept from Student| a bird with a large sing span flying over trees
Image 322| Score: -0.1878 | Improved by Teacher| a man is sitting in front of a small cake
Image 323| Score: 1.8275 | Kept from Student| Two men holding oranges on a city street. 
Image 324| Score: -0.1403 | Improved by Teacher| Two small airplanes parked on a lush green field.
Image 325| Score: 0.9189 | Kept from Student| a line of toilets that are next to a wall
Image 326| Score: 0.6643 | Kept from Student| The man squats down while surfing through a wave.
Image 327| Score: -0.2279 | Improved by Teacher| That clock seems to be mounted on a building.
Image 328| Score: 0.1876 | Improved by Teacher| A person walking while using a cellular phone.
Image 329| Score: 1.6919 | Kept from Student| A girl sits at an outdoor table, there are lobsters in a bowl on the table, and trees and water in the background. 
Image 330| Score: 0.7325 | Kept from Student| there are two giraffes standing very close to each other
Image 331| Score: 1.9787 | Kept from Student| A young man wearing a ring adjusting his tie
Image 332| Score: 0.7078 | Kept from Student| this is a table in the middle of a room
Image 333| Score: 0.6655 | Kept from Student| a kid in jeans doing a skatboard trick down steps
